鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數_num
南港區,房地(土地+建物)+車位,玉成街61~90號,29.33,都市：其他:第一種商業區(依都市計畫說明書圖規定辦理)。,,,1100307,土地1建物1車位1,二層,十七,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造；鋼骨造,0931216,256.93,4,2,2,有,有,53500000,208228,坡道平面,0.0,0,含土地增值稅或其他稅費；含仲介費；,RPUNMLOKMHGGFDA67DA,136.93,1.63,13.37,有,,17
南港區,房地(土地+建物),經貿二路235巷31~60號,55.76,都市：其他:住宅區(供商務住宅使用)。,,,1100306,土地1建物1車位0,五層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011107,343.1,0,0,0,無,有,68500000,199650,,0.0,0,,RPQVMLTKMHGGFDA58DA,178.91,10.1,20.02,有,,14
北投區,房地(土地+建物)+車位,泉源路31~60號,45.42,都市：其他:第三種住宅區。,,,1100313,土地1建物1車位2,十六層,十九,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050315,314.3,3,2,2,有,有,57580000,183201,坡道平面,61.62,0,陽台外推；其他增建；,RPPNMLTKMHGGFEA77DA,145.93,3.08,16.68,有,21.0,19
大安區,房地(土地+建物),基隆路二段151~180號,8.39,都市：其他:第三種住宅區。,,,1100312,土地3建物1車位0,十四層,十七,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780524,160.26,4,2,2,有,有,29100000,181580,,0.0,0,其他增建；,RPVOMLTJMHGGFFA48DA,112.5,3.27,10.0,有,,17
內湖區,房地(土地+建物)+車位,民權東路六段180巷42弄1~30號,12.71,都市：其他:第三種商業區。,,,1100313,土地1建物1車位1,八層,十五,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,172.13,3,2,2,有,有,33750000,236097,坡道平面,41.04,2800000,,RPPQMLOKMHGGFCA47EA,73.41,2.04,9.47,有,25.0,15
中山區,房地(土地+建物),林森北路451~480號,4.57,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100322,土地1建物1車位0,二層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920122,43.25,1,1,1,有,有,8500000,196532,,0.0,0,陽台外推；,RPUPMLTKMHGGFCA38EA,23.02,0.74,3.11,有,,14
內湖區,房地(土地+建物),文德路66巷14弄1~30號,15.65,都市：其他:第三種住宅區。,,,1100316,土地1建物1車位0,十五層,十六,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831123,73.04,1,2,1,有,有,15850000,217004,,0.0,0,其他增建；,RPXPMLTKMHGGFCA68EA,53.83,4.41,2.79,有,29.0,16
北投區,房地(土地+建物),大度路三段271~300號,5.91,都市：其他:第三種住宅區。,,,1100308,土地3建物1車位0,九層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971013,57.769999999999996,1,2,1,有,有,9500000,164445,,0.0,0,陽台加窗、雨遮加蓋其他增建；,RPQOMLTKMHGGFEA08EA,32.82,1.85,4.12,有,36.0,14
大安區,房地(土地+建物),建國南路一段301~330號,12.14,都市：其他:第三之二種住宅區及第三種住宅區。,,,1100313,土地1建物1車位0,九層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750520,92.02,3,2,1,有,有,26080000,283447,,0.0,0,,RPROMLMKMHGGFFA57EA,66.2,0.7,10.29,有,,14
士林區,房地(土地+建物)+車位,基河路361~390號,50.12,都市：其他:第三種住宅區。,,,1100324,土地1建物1車位1,二層,十五,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990224,295.1,4,2,4,有,有,63000000,236439,坡道平面,39.22,2500000,,RPVPMLKLMHGGFEA87EA,155.16,9.4,8.66,有,,15
